Республика Адыгея;79;RU-AD
Республика Алтай;84;RU-AL
Республика Башкортостан;80;RU-BA
Республика Бурятия;81;RU-BU
Республика Дагестан;82;RU-DA
Республика Ингушетия;26;RU-IN
Кабардино-Балкарская республика;83;RU-KB
Республика Калмыкия;85;RU-KL
Карачаево-Черкесская республика;91;RU-KC
Республика Карелия;86;RU-KR
Республика Коми;87;RU-KO
Республика Крым;35;RU-CR
Республика Марий Эл;88;RU-ME
Республика Мордовия;89;RU-MO
Республика Саха (Якутия);98;RU-SA
Республика Северная Осетия — Алания;90;RU-SE
Республика Татарстан;92;RU-TA
Республика Тыва;93;RU-TY
Удмуртская республика;94;RU-UD
Республика Хакасия;95;RU-KK
Чеченская республика;96;RU-CE
Чувашская республика;97;RU-CU
Алтайский край;1;RU-ALT
Забайкальский край;76;RU-ZAB
Камчатский край;30;RU-KAM
Краснодарский край;3;RU-KDA
Красноярский край;4;RU-KYA
Пермский край;57;RU-PER
Приморский край;5;RU-PRI
Ставропольский край;7;RU-STA
Хабаровский край;8;RU-KHA
Амурская область;10;RU-AMU
Архангельская область;11;RU-ARK
Астраханская область;12;RU-AST
Белгородская область;14;RU-BEL
Брянская область;15;RU-BRY
Владимирская область;17;RU-VLA
Волгоградская область;18;RU-VGG
Вологодская область;19;RU-VLG
Воронежская область;20;RU-VOR
Ивановская область;24;RU-IVA
Иркутская область;25;RU-IRK
Калининградская область;27;RU-KGD
Калужская область;29;RU-KLU
Кемеровская область;32;RU-KEM
Кировская область;33;RU-KIR
Костромская область;34;RU-KOS
Курганская область;37;RU-KGN
Курская область;38;RU-KRS
Ленинградская область;41;RU-LEN
Липецкая область;42;RU-LIP
Магаданская область;44;RU-MAG
Московская область;46;RU-MOS
Мурманская область;47;RU-MUR
Нижегородская область;22;RU-NIZ
Новгородская область;49;RU-NGR
Новосибирская область;50;RU-NVS
Омская область;52;RU-OMS
Оренбургская область;53;RU-ORE
Орловская область;54;RU-ORL
Пензенская область;56;RU-PNZ
Псковская область;58;RU-PSK
Ростовская область;60;RU-ROS
Рязанская область;61;RU-RYA
Самарская область;36;RU-SAM
Саратовская область;63;RU-SAR
Сахалинская область;64;RU-SAK
Свердловская область;65;RU-SVE
Смоленская область;66;RU-SMO
Тамбовская область;68;RU-TAM
Тверская область;28;RU-TVE
Томская область;69;RU-TOM
Тульская область;70;RU-TUL
Тюменская область;71;RU-TYU
Ульяновская область;73;RU-ULY
Челябинская область;75;RU-CHE
Ярославская область;78;RU-YAR
г. Москва;45;RU-MOW
г. Санкт-Петербург;40;RU-SPB
г. Севастополь;67;RU-SEV
Еврейская авт. область;99;RU-YEV
Ненецкий авт. округ;111/118;RU-NEN
Ханты-Мансийский авт. округ - Югра;7110/718;RU-KHM
Чукотский авт. округ;77;RU-CHU
Ямало-Ненецкий авт. округ;7114/719;RU-YAN
